Klimatnummer	Mäthöjd (meter över marken)
65075	2.0
	
00:00:00	0
01:00:00	0
02:00:00	0
03:00:00	0
04:00:00	0
05:00:00	0
06:00:00	885
07:00:00	3548
08:00:00	3600
09:00:00	3600
10:00:00	3600
11:00:00	3600
12:00:00	3600
13:00:00	3600
14:00:00	3600
15:00:00	3600
16:00:00	2228
17:00:00	0
18:00:00	0
19:00:00	2204
20:00:00	672
21:00:00	0
22:00:00	0
23:00:00	0
00:00:00	0
01:00:00	0
02:00:00	0
03:00:00	0
04:00:00	0
05:00:00	0
06:00:00	782
07:00:00	3426
08:00:00	3600
09:00:00	3600
10:00:00	3600
11:00:00	3600
12:00:00	3600
13:00:00	3600
14:00:00	3600
15:00:00	3600
16:00:00	3600
17:00:00	3600
18:00:00	3298
19:00:00	281
20:00:00	0
21:00:00	0
22:00:00	0
23:00:00	0
00:00:00	0
01:00:00	0
02:00:00	0
03:00:00	849
04:00:00	3600
05:00:00	3600
06:00:00	3600
07:00:00	3600
08:00:00	3600
09:00:00	3600
10:00:00	3600
11:00:00	3600
12:00:00	3600
13:00:00	2508
14:00:00	0
15:00:00	0
16:00:00	0
17:00:00	0
18:00:00	2349
19:00:00	595
20:00:00	0
21:00:00	0
22:00:00	0
23:00:00	0
00:00:00	0
01:00:00	0
02:00:00	0
03:00:00	0
04:00:00	103
05:00:00	2516
06:00:00	3600
07:00:00	2298
08:00:00	3600
09:00:00	3600
10:00:00	3600
11:00:00	3600
12:00:00	3600
13:00:00	3594
14:00:00	3059
15:00:00	170
16:00:00	0
17:00:00	0
18:00:00	0
19:00:00	0
20:00:00	0
21:00:00	0
22:00:00	0
23:00:00	0
00:00:00	0
01:00:00	0
02:00:00	0
03:00:00	0
04:00:00	14
05:00:00	643
06:00:00	1101
07:00:00	1434
08:00:00	145
09:00:00	0
10:00:00	0
11:00:00	0
12:00:00	0
13:00:00	442
14:00:00	2661
15:00:00	2605
16:00:00	2414
17:00:00	550
18:00:00	0
19:00:00	0
20:00:00	0
